1.1.001|1.1.001 वृद्धिरादैच्	आ, ऐ and औ are called वृद्धि।<br><br>Terms: वृद्धि
6.1.126|6.1.126 आङोऽनुनासिकश्छन्दसि	For the adverb आ , is substituted in the छन्दस् the nasalised आँ , when a vowel follows it, and it retains its original form.<br><br>Terms: संहितायाम्
6.1.127|6.1.127 इकोऽसवर्णे शाकल्यस्य ह्रस्वश्च	According to the opinion of शाकल्य , the simple vowels with the exception of अ , when followed by a non-homogenous vowel, retain their original forms; and if the vowel is long, it is shortened.<br><br>Terms: संहितायाम्
6.1.128|6.1.128 ऋत्यकः	According to the opinion of शाकल्य , the simple vowel followed by ऋ retains its original form, and if the vowel is long, it is shortened.<br><br>Terms: संहितायाम्
6.1.129|6.1.129 अप्लुतवदुपस्थिते	Before the word इति in the पदपाठ , a प्लुत vowel is treated like an ordinary अप्लुत vowel.<br><br>Terms: संहितायाम्
6.1.130|6.1.130 ई३ चाक्रवर्मणस्य	According to the opinion of चाक्रवर्मण , the प्लुत ई3 followed by a vowel is treated like an ordinary vowel.<br><br>Terms: संहितायाम्
6.1.131|6.1.131 दिव उत्‌	For the final of the nominal-stem दिव् , there is the substitution of उ , when it is a पद (1.4.14 etc.).<br><br>Terms: संहितायाम्
6.1.132|6.1.132 एतत्तदोः सुलोपोऽकोरनञ्समासे हलि	After एतद् and तद् there is elision of the case-affix स् (of the Nominative Singular), when a consonant follows it, when these words are not combined with क (5.3.71) and have not the Negative Particle in composition.<br><br>Terms: संहितायाम्
6.1.133|6.1.133 स्यश्छन्दसि बहुलम्	In the छन्दस् , the case-affix of the nominative singular is diversely elided after स्य , when a consonant follows it.<br><br>Terms: संहितायाम्
6.1.134|6.1.134 सोऽचि लोपे चेत्‌ पादपूरणम्	The case affix of सस् 'he', is elided before a vowel, if by such elision the meter of the foot becomes complete.<br><br>Terms: संहितायाम्
6.1.135|6.1.135 सुट् कात्‌ पूर्वः	Up to 6.1.157 inclusive, the following sentence is to be supplied in every aphorism - 'before क is added स्'.<br><br>Terms: संहितायाम्
6.1.136|6.1.136 अडभ्यासव्यवायेऽपि	The augment सुट् is placed before क even when the augment अट् 6.4.71 or the Reduplicate intervenes (between the preposition and the verb).<br><br>Terms: संहितायाम्
6.1.137|6.1.137 सम्पर्युपेभ्यः करोतौ भूषणे	The augment सुट् is placed before क when सम् , परि , and उप are followed by the verb कृ and the sense is that of ornamenting.<br><br>Terms: सुट् augment
6.1.138|6.1.138 समवाये च	The augment सुट् is placed before क even when सम् , परि , and उप are followed by the verb कृ and the sense being that of combining.<br><br>Terms: सुट् augment
6.1.139|6.1.139 उपात्‌ प्रतियत्नवैकृतवाक्याध्याहारेषु	The augment सुट् is placed before क , when the verb कृ comes after उप , and the sense is that of 'to take pains for something, to prepare, and to supply and ellipses in a discourse'.<br><br>Terms: सुट् augment
6.1.140|6.1.140 किरतौ लवने	The augment सुट् is placed before क , when the verb कृ comes after उप , and the sense is that of 'to cut or to split'.<br><br>Terms: सुट् augment
6.1.141|6.1.141 हिंसायां प्रतेश्च	The augment सुट् is placed before क , when the verb कृ comes after उप and प्रति and the sense 'to cause suffering'.<br><br>Terms: सुट् augment
6.1.142|6.1.142 अपाच्चतुष्पाच्छकुनिष्वालेखने	The augment सुट् is placed before क , when the verb कृ comes after अप and the sense is 'the scraping of earth by four-footed animals or birds'.<br><br>Terms: सुट् augment
6.1.143|6.1.143 कुस्तुम्बुरूणि जातिः	The word कुस्तुम्बुरु is irregularly, formed with the augment सुट् and means 'a species of herb'.<br><br>Terms: सुट् augment
6.1.144|6.1.144 अपरस्पराः क्रियासातत्ये	The word अपस्पराः is formed by the augment सुट् when the sense is that of 'uninterrupted action'.<br><br>Terms: सुट् augment
6.1.145|6.1.145 गोष्पदं सेवितासेवितप्रमाणेषु	The word गोष्पद is formed by सुट् , when meaning a locality visited or not visited by cows, or when it means quantity.<br><br>Terms: सुट् augment
6.1.146|6.1.146 आस्पदं प्रतिष्ठायाम्‌	The word आस्पद is formed by सुट् when meaning 'a place or position'.<br><br>Terms: सुट् augment
6.1.147|6.1.147 आश्चर्यमनित्ये	The word आशचर्य is formed by सुट् when meaning something 'unusual'.<br><br>Terms: सुट् augment
6.1.148|6.1.148 वर्चस्केऽवस्करः	The word अवस्कर is formed by सुट् meaning 'excrement'.<br><br>Terms: सुट् augment
6.1.149|6.1.149 अपस्करो रथाङ्गम्	The word अपस्कर is formed by सुट् meaning 'the part of a chariot'.<br><br>Terms: सुट् augment
6.1.150|6.1.150 विष्किरः शकुनिर्विकरो वा	The word विषिकर is formed with सुट् optionally when denoting a kind of bird, the other form being विकार।<br><br>Terms: सुट् augment
6.1.151|6.1.151 ह्रस्वाच्चन्द्रोत्तरपदे मन्त्रे	In a मन्त्र , the सुट् is added to चन्द्र when it is second member in a compound and is preceded by a short vowel.<br><br>Terms: सुट् augment
6.1.152|6.1.152 प्रतिष्कशश्च कशेः	To the root कश् 'to go, to punish', is added the augment सुट् , when preceded by the preposition प्रति , the form being प्रतिष्कशः।<br><br>Terms: सुट् augment
